from,to,relationship,start_relationship,end_relationship,role
1,2,1,1931,99,99
8,9,1,1933,99,99
16,17,1,1943,99,99
1,6,1,1952,99,99
2,1,1,1931,99,99
9,8,1,1933,99,99
17,16,1,1943,99,99
6,1,1,1952,99,99
1,3,2,1925,99,99
3,4,2,1944,1946,99
3,1,2,1925,99,99
4,3,2,1944,1946,99
25,26,2,1926,99,99
26,25,2,1926,99,99
52,30,2,99,99,99
30,52,2,99,99,99
6,5,3,1945,99,99
28,18,3,1944,99,99
28,12,3,1943,99,99
28,15,3,1943,99,99
1,3,3,1942,99,99
6,20,3,1942,99,99
3,51,19,1942,99,2
1,31,99,99,99,2
2,31,99,99,99,2
9,32,99,99,99,2
4,33,99,99,99,1
6,33,99,99,99,1
1,33,99,99,99,1
3,33,99,99,99,1
7,33,99,99,99,1
23,33,99,99,99,1
12,33,99,99,99,1
20,34,99,99,99,4
21,35,99,99,99,5
24,36,99,99,99,99
12,31,99,99,99,3
1,36,99,1945,99,99
6,36,99,1945,99,99
3,36,99,1945,99,99
4,36,99,1945,99,99
12,36,99,1945,99,99
10,36,99,1945,99,99
2,36,99,1945,99,99
31,41,99,99,99,10
31,42,99,99,99,10
31,43,99,99,99,10
31,44,99,99,99,10
45,46,99,1938,99,10
1,45,99,1938,99,6
2,45,99,1938,99,6
22,45,99,1938,99,6
51,52,99,1942,99,10
1,51,99,1942,99,2
2,51,99,1942,99,2
51,30,99,1943,99,10
54,13,99,1944,99,10
1,54,99,1944,99,2
55,56,99,1944,99,10
7,55,99,1944,99,2
1,57,99,99,99,99
3,57,99,99,99,99
6,57,99,99,99,99
58,59,99,99,99,3
59,28,99,99,99,10
61,60,99,1945,99,10
18,61,99,99,99,1
18,61,99,99,99,2
25,36,99,1945,99,99
26,36,99,1945,99,99
13,36,99,1945,99,99
34,66,99,1945,99,10
67,23,99,1945,99,10
67,25,99,1945,99,10
67,26,99,1945,99,10
1,67,99,1945,99,3
3,67,99,1945,99,3
6,67,99,1945,99,3
10,67,99,1945,99,3
4,67,99,1945,99,3
6,69,99,1945,99,99
3,69,99,1945,99,99
1,69,99,1945,99,99
12,69,99,1945,99,99
10,70,99,1945,99,99
71,25,99,1945,99,10
71,26,99,1945,99,10
15,71,99,1945,99,2
1,71,99,1945,99,2
3,71,99,1945,99,2
12,71,99,1945,99,3
76,62,99,1938,99,10
77,63,99,1939,99,10
7,51,99,1942,99,2
8,51,99,1942,99,2
9,51,99,1942,99,2
16,51,99,1942,99,2
17,51,99,1942,99,2
75,64,99,1935,99,10
75,65,99,1935,99,10
1,75,99,1935,99,7
74,73,99,1940,99,10
1,74,99,1940,99,6
1,77,99,1939,99,6
1,76,99,1938,99,6
2,76,99,1938,99,6
29,53,99,1943,99,2
29,53,99,1943,99,3
53,26,99,1943,99,10
32,6,99,1944,99,10
12,78,99,1944,99,2
78,27,99,1944,99,10
79,28,99,1943,99,10
15,79,99,1943,99,2
15,79,99,1943,99,3
1,76,99,1938,99,1
6,71,99,1945,99,11
18,80,99,1945,99,1
6,80,99,1945,99,4
13,80,99,1945,99,3
3,80,99,1945,99,5
60,80,99,1945,99,5
7,80,99,1945,99,12
14,80,99,1945,99,5
15,80,99,1945,99,5
10,80,99,1945,99,2
4,80,99,1945,99,1
80,81,99,1945,99,10
80,82,99,1945,99,10
80,83,99,1945,99,10
80,84,99,1945,99,10